direction,source,reference,translation
English to Arabic,Algeria produces oil.,الجزائر تنتج النفط.,تنتج الجزائر البطر.
English to Arabic,"This Thanksgiving weekend, I have a surprise for Fadil.",عندي مفاجأة لفاضل بمناسبة نهاية الأسبوع الّتي تزامنت مع عيد الشّكر.,هذه الأسبوع نهاية عشق فاضل.
English to Arabic,Sami forgave Layla.,سامح سامي ليلى.,سامي forgave ليلى.
English to Arabic,Ziri noticed Rima at the library.,لفتت ريمة انتباه زيري في المكتبة.,لاحظ زيري ريمة في المكتبة.
English to Arabic,What's going on here?,ماذا يحدث هنا؟,ما الذي يحدث هنا؟
Arabic to English,أيهما تفضل اللحم أم السمك؟,"Which do you like better, meat or fish?","Which meat do you prefer, meat or fish?"
Arabic to English,إنها تتحدث ثلاث لغات.,She speaks three languages.,She speaks three languages.
Arabic to English,كم المدة وأنتَ تُعلم الإسبانية؟,How long have you been teaching Spanish?,How many coins do you know?
Arabic to English,المفاتيح من فضلك.,"The keys, please.","The keys, please."
Arabic to English,إنتحرت.,She took her own life.,She committed suicide.
